fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file,pit_mouth_rate_inr_mt
2016,Limestone,Rajasthan,1623.0,1251.0,10252016172810MSMP_March2016.pdf,770.7948243992606
2016,Limestone,Tamil Nadu,2222.0,4982.0,10252016172810MSMP_March2016.pdf,2242.124212421242
2016,Limestone,Rajasthan,186524.0,162113.0,10252016172810MSMP_March2016.pdf,869.1267611674637
2016,Limestone,Chhattisgarh,2058.0,1692.0,10252016172810MSMP_March2016.pdf,822.1574344023323
2016,Limestone,Jharkhand,226.0,140.0,10252016172810MSMP_March2016.pdf,619.4690265486726
2016,Limestone,Odisha,7060.0,6804.0,10252016172810MSMP_March2016.pdf,963.7393767705382
2017,Limestone,Andhra Pradesh,104.0,85.0,11302017125132MSMP_MARCH 17_final_release.pdf,817.3076923076923
2017,Limestone,Madhya Pradesh,21373.0,9.0,11302017125132MSMP_MARCH 17_final_release.pdf,0.42109203200299444
2017,Limestone,Gujarat,11921.0,5.0,11302017125132MSMP_MARCH 17_final_release.pdf,0.4194279003439309
2017,Limestone,Andhra Pradesh,20870046.0,18470126.0,11302017125132MSMP_MARCH 17_final_release.pdf,885.0064824964928
2017,Limestone,Chhattisgarh,227430675.0,208559861.0,11302017125132MSMP_MARCH 17_final_release.pdf,917.0260827832482
2017,Limestone,Gujarat,119211395.0,117695800.0,11302017125132MSMP_MARCH 17_final_release.pdf,987.2864922015215
2017,Limestone,Jharkhand,213728273.0,206137946.0,11302017125132MSMP_MARCH 17_final_release.pdf,964.486088370723
2017,Limestone,Karnataka,54468641.0,42636581.0,11302017125132MSMP_MARCH 17_final_release.pdf,782.7729904258122
2017,Limestone,Madhya Pradesh,149686168.0,150413983.0,11302017125132MSMP_MARCH 17_final_release.pdf,1004.8622729122172
2017,Limestone,Maharashtra,73138769.0,73585364.0,11302017125132MSMP_MARCH 17_final_release.pdf,1006.1061323031018
2017,Limestone,Odisha,286023519.0,263900422.0,11302017125132MSMP_MARCH 17_final_release.pdf,922.6528745700804
2017,Limestone,Rajasthan,262516285.0,260420238.0,11302017125132MSMP_MARCH 17_final_release.pdf,992.0155543874164
2017,Limestone,Tamil Nadu,76059577.0,69778323.0,11302017125132MSMP_MARCH 17_final_release.pdf,917.4166587857832
2017,Limestone,Andhra Pradesh,11913801.0,10481062.0,11302017125132MSMP_MARCH 17_final_release.pdf,879.741234556461
2017,Limestone,Chhattisgarh,157728759.0,147436800.0,11302017125132MSMP_MARCH 17_final_release.pdf,934.7490016072466
2017,Limestone,Gujarat,111686310.0,108128114.0,11302017125132MSMP_MARCH 17_final_release.pdf,968.141162511323
2017,Limestone,Jharkhand,195258296.0,187386440.0,11302017125132MSMP_MARCH 17_final_release.pdf,959.6849088552939
2017,Limestone,Madhya Pradesh,133311995.0,132263170.0,11302017125132MSMP_MARCH 17_final_release.pdf,992.1325534135169
2017,Limestone,Maharashtra,63140766.0,65340300.0,11302017125132MSMP_MARCH 17_final_release.pdf,1034.8354025353447
2017,Limestone,Odisha,121794047.0,121010100.0,11302017125132MSMP_MARCH 17_final_release.pdf,993.5633389372471
2017,Limestone,Rajasthan,166500584.0,178516730.0,11302017125132MSMP_MARCH 17_final_release.pdf,1072.1687919124656
2017,Limestone,Tamil Nadu,69207039.0,62272976.0,11302017125132MSMP_MARCH 17_final_release.pdf,899.8069690570059
2017,Limestone,Andhra Pradesh,1020320.0,612207.0,11302017125132MSMP_MARCH 17_final_release.pdf,600.0147012701898
2017,Limestone,Chhattisgarh,61806458.0,54103613.0,11302017125132MSMP_MARCH 17_final_release.pdf,875.371518620271
2017,Limestone,Gujarat,2878562.0,4876805.0,11302017125132MSMP_MARCH 17_final_release.pdf,1694.1809834215835
2017,Limestone,Jharkhand,17906362.0,18218578.0,11302017125132MSMP_MARCH 17_final_release.pdf,1017.4360375379432
2017,Limestone,Karnataka,49368868.0,38269690.0,11302017125132MSMP_MARCH 17_final_release.pdf,775.1786004086624
2017,Limestone,Madhya Pradesh,9254915.0,8605588.0,11302017125132MSMP_MARCH 17_final_release.pdf,929.8397662215158
2017,Limestone,Maharashtra,7555962.0,5348664.0,11302017125132MSMP_MARCH 17_final_release.pdf,707.8733323433866
2017,Limestone,Odisha,162381109.0,141210527.0,11302017125132MSMP_MARCH 17_final_release.pdf,869.6241075678329
2017,Limestone,Rajasthan,77415372.0,62762018.0,11302017125132MSMP_MARCH 17_final_release.pdf,810.7177732091761
2017,Limestone,Tamil Nadu,4811.0,19002.0,11302017125132MSMP_MARCH 17_final_release.pdf,3949.6986073581375
2017,Limestone,Andhra Pradesh,7935925.0,7376857.0,11302017125132MSMP_MARCH 17_final_release.pdf,929.5522576133217
2017,Limestone,Chhattisgarh,7895458.0,7019448.0,11302017125132MSMP_MARCH 17_final_release.pdf,889.0488683493725
2017,Limestone,Gujarat,4646523.0,4690881.0,11302017125132MSMP_MARCH 17_final_release.pdf,1009.5464931519762
2017,Limestone,Jharkhand,563615.0,532928.0,11302017125132MSMP_MARCH 17_final_release.pdf,945.5532588735218
2017,Limestone,Karnataka,5099773.0,4366891.0,11302017125132MSMP_MARCH 17_final_release.pdf,856.2912506105664
2017,Limestone,Madhya Pradesh,7119258.0,9545225.0,11302017125132MSMP_MARCH 17_final_release.pdf,1340.7612141602397
2017,Limestone,Maharashtra,2442041.0,2896400.0,11302017125132MSMP_MARCH 17_final_release.pdf,1186.0570727518498
2017,Limestone,Odisha,1848363.0,1679795.0,11302017125132MSMP_MARCH 17_final_release.pdf,908.8014637817355
2017,Limestone,Rajasthan,18600329.0,19141490.0,11302017125132MSMP_MARCH 17_final_release.pdf,1029.094162796798
2017,Limestone,Tamil Nadu,6847727.0,7486345.0,11302017125132MSMP_MARCH 17_final_release.pdf,1093.259851042543
2017,Limestone,Chhattisgarh,130605.0,147436800.0,11302017125132MSMP_MARCH 17_final_release.pdf,1128875.617319398
2017,Limestone,Jharkhand,121067.0,187369900.0,11302017125132MSMP_MARCH 17_final_release.pdf,1547654.6044752079
2017,Limestone,Madhya Pradesh,107714.0,132254900.0,11302017125132MSMP_MARCH 17_final_release.pdf,1227833.8934586034
2017,Limestone,Maharashtra,38351.0,65340300.0,11302017125132MSMP_MARCH 17_final_release.pdf,1703744.36129436
2017,Limestone,Odisha,138461.0,121010100.0,11302017125132MSMP_MARCH 17_final_release.pdf,873965.2320870137
2017,Limestone,Gujarat,10123.0,14723500.0,11302017125132MSMP_MARCH 17_final_release.pdf,1454460.1402746222
2017,Limestone,Rajasthan,9492.0,11103300.0,11302017125132MSMP_MARCH 17_final_release.pdf,1169753.4766118836
2017,Limestone,Tamil Nadu,24227.0,49168000.0,11302017125132MSMP_MARCH 17_final_release.pdf,2029471.2510835018
2017,Limestone,Andhra Pradesh,619.0,5119209.0,11302017125132MSMP_MARCH 17_final_release.pdf,8270127.625201939
2017,Limestone,Gujarat,1490.0,12322491.0,11302017125132MSMP_MARCH 17_final_release.pdf,8270128.187919463
2017,Limestone,Rajasthan,1338.0,11065431.0,11302017125132MSMP_MARCH 17_final_release.pdf,8270127.802690583
2017,Limestone,Tamil Nadu,1011.0,8361099.0,11302017125132MSMP_MARCH 17_final_release.pdf,8270127.596439169
2017,Limestone,Andhra Pradesh,295.0,5361853.0,11302017125132MSMP_MARCH 17_final_release.pdf,18175772.881355934
2017,Limestone,Gujarat,4461.0,81082123.0,11302017125132MSMP_MARCH 17_final_release.pdf,18175772.92086976
2017,Limestone,Rajasthan,8602.0,156347999.0,11302017125132MSMP_MARCH 17_final_release.pdf,18175772.959776796
2017,Limestone,Tamil Nadu,261.0,4743877.0,11302017125132MSMP_MARCH 17_final_release.pdf,18175773.946360152
2017,Iron Ore,Andhra Pradesh,493.0,283258.0,11302017125132MSMP_MARCH 17_final_release.pdf,574.5598377281948
2017,Iron Ore,Chhattisgarh,26718.0,52780037.0,11302017125132MSMP_MARCH 17_final_release.pdf,1975.4486488509617
2017,Iron Ore,Jharkhand,19198.0,16494215.0,11302017125132MSMP_MARCH 17_final_release.pdf,859.1631940827169
2017,Iron Ore,Karnataka,25036.0,34659850.0,11302017125132MSMP_MARCH 17_final_release.pdf,1384.4004633328007
