fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2017,Iron Ore,Karnataka,25036.0,34659850.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Madhya Pradesh,2447.0,1475651.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Maharashtra,1420.0,1500657.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Odisha,79856.0,112112226.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Rajasthan,1146.0,1768585.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Andhra Pradesh,312.0,227859.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Chhattisgarh,10214.0,24169097.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Jharkhand,6154.0,6032530.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Karnataka,7990.0,14927975.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Madhya Pradesh,268.0,174566.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Maharashtra,198.0,349230.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Odisha,29103.0,52579559.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Rajasthan,111.0,40601.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Andhra Pradesh,181.0,55399.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Chhattisgarh,16504.0,28610940.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Jharkhand,13044.0,10461685.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Karnataka,17046.0,19731875.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Madhya Pradesh,2179.0,1301085.0,11302017125132MSMP_MARCH 17_final_release.pdf
